,Name,Price,Kms_driven,Fuel_type,Year,Company
364,Hyundai Elite i20,599799,74913,Petrol,2016,Hyundai
365,Maruti Suzuki Wagon,456099,74760,Petrol,2018,Maruti
366,Ford Ecosport,993699,34045,Diesel,2019,Ford
367,Maruti Suzuki Ritz,312299,143147,Petrol,2010,Maruti
368,Hyundai Venue,1221799,28149,Petrol,2019,Hyundai
369,Maruti Suzuki Swift,522999,38049,Petrol,2015,Maruti
370,Hyundai EON Magna,323399,78895,Petrol,2014,Hyundai
371,Hyundai Grand i10,510799,27027,Petrol,2015,Hyundai
372,Mahindra XUV 500,750000,66000,Diesel,2013,Mahindra
373,Hyundai Getz GLS,155000,82000,Petrol,2005,Hyundai
374,Maruti Suzuki Swift,350000,57000,Petrol,2011,Maruti
375,Honda Amaze 1.5,410000,71000,Diesel,2014,Honda
376,Hyundai Eon Era,275000,47000,CNG,2014,Hyundai
377,Hyundai Grand i10,465000,37000,Petrol,2017,Hyundai
378,Maruti Suzuki Zen,145000,73000,Petrol,2007,Maruti
379,Hyundai Getz GLS,165000,82650,Petrol,2007,Hyundai
380,Maruti Suzuki Vitara,910799,23940,Petrol,2020,Maruti
381,Renault Captur,722899,26678,Petrol,2018,Renault
382,Honda WR V,809499,41342,Diesel,2018,Honda
383,Maruti Suzuki Alto,297399,59614,Petrol,2013,Maruti
384,Maruti Suzuki Alto,411999,39550,Petrol,2016,Maruti
385,Renault Triber,623399,28621,Petrol,2019,Renault
386,Honda Brio,372399,60437,Petrol,2013,Honda
387,Maruti Suzuki Wagon,518099,26598,Petrol,2018,Maruti
388,Honda Amaze,485599,62723,Petrol,2015,Honda
389,Maruti Suzuki Baleno,636899,21145,Petrol,2017,Maruti
390,Hyundai Grand i10,396999,48699,Petrol,2013,Hyundai
391,Ford Ecosport,980399,10102,Petrol,2019,Ford
392,Maruti Suzuki Baleno,658999,34881,Petrol,2017,Maruti
393,Hyundai EON D,304099,53997,Petrol,2015,Hyundai
394,Maruti Suzuki Alto,362599,49076,Petrol,2015,Maruti
395,Maruti Suzuki Alto,344199,65951,Petrol,2014,Maruti
396,Maruti Suzuki Swift,215000,116000,Petrol,2007,Maruti
397,Skoda Rapid 1.5,550000,136000,Diesel,2015,Skoda
398,Renault Duster 110PS,550000,85000,Diesel,2013,Renault
399,Hyundai Santro,89000,85000,Petrol,2002,Hyundai
400,Maruti Suzuki Alto,79000,85000,Petrol,2001,Maruti
401,Chevrolet Aveo,67000,63000,Petrol,2007,Chevrolet
402,Ford Ikon,59000,73000,Petrol,2009,Ford
403,Maruti Suzuki Wagon,69000,85000,Petrol,2007,Maruti
404,Maruti Suzuki Alto,462399,15032,Petrol,2017,Maruti
405,Maruti Suzuki Alto,319999,15575,Petrol,2017,Maruti
406,Maruti Suzuki Swift,275699,147819,Diesel,2010,Maruti
407,Hyundai Grand i10,501599,35203,Petrol,2016,Hyundai
408,Maruti Suzuki Eeco,506599,7597,Petrol,2020,Maruti
409,Mahindra Scorpio S5,1198599,34883,Diesel,2018,Mahindra
410,Ford Ecosport,775499,59580,Diesel,2017,Ford
411,Maruti Suzuki Ritz,338999,49647,Petrol,2011,Maruti
412,Hyundai Verna Fluidic,652699,67577,Petrol,2016,Hyundai
413,Tata Tiago,535899,10890,Petrol,2017,Tata
414,Maruti Suzuki Swift,492099,57444,Petrol,2015,Maruti
415,Honda City,885999,33598,Petrol,2017,Honda
416,Ford Freestyle,694899,17804,Petrol,2018,Ford
417,Maruti Suzuki Swift,450599,62613,Petrol,2013,Maruti
418,Hyundai i20 Asta,377999,56974,Petrol,2010,Hyundai
419,Datsun Redi GO,491499,1405,Petrol,2021,Datsun
420,Maruti Suzuki Omni,89000,85000,Petrol,2008,Maruti
421,Hyundai Creta 1.6,1865000,8000,Petrol,2020,Hyundai
422,Datsun GO T,235000,29000,Petrol,2014,Datsun
423,Mahindra Bolero B6,1025000,22000,Diesel,2020,Mahindra
